id,comment_dict
5089235,"{'漂亮大方': 211, '时尚美观': 188, '完美运行': 153, '流畅至极': 147, '清晰度高': 143, '识别率强': 98, '解锁迅速': 89, '颜色绚丽': 67, '使用舒适': 48, '性能一流': 41, '时尚简约': 40, '持久耐用': 34}"
7694047,"{'反应超快': 728, '流畅至极': 558, '清晰度高': 520, '设计一流': 404, '使用舒适': 335, '漂亮大方': 302, '时尚美观': 271, '方便好用': 249, '大小适宜': 191, '性能一流': 136, '手感一流': 133, '识别率强': 92}"
7437788,"{'漂亮大方': 1685, '反应超快': 1393, '清晰度高': 1364, '使用舒适': 1008, '流畅至极': 902, '大小适宜': 735, '时尚美观': 702, '设计一流': 566, '方便好用': 477, '手感一流': 327, '性能一流': 272, '持久耐用': 200}"
100001172674,"{'流畅至极': 1159, '反应超快': 989, '清晰度高': 472, '使用舒适': 426, '漂亮大方': 375, '方便好用': 334, '性能一流': 292, '时尚美观': 281, '散热性佳': 215, '设计人性化': 178, '手感一流': 154, '高端大气': 118}"
5821455,"{'流畅至极': 241, '方便好用': 156, '反应超快': 150, '时尚美观': 128, '识别率强': 92, '手感一流': 82, '解锁迅速': 64, '充电快速': 55, '性能一流': 43, '做工精湛': 22, '简洁清爽': 19, '高端大气': 16}"
8735304,"{'反应超快': 702, '流畅至极': 697, '漂亮大方': 409, '清晰度高': 301, '使用舒适': 239, '时尚美观': 239, '颜色绚丽': 175, '充电快速': 162, '性能一流': 156, '电池耐用': 121, '大小适宜': 116, '手感一流': 67}"
100000287145,"{'流畅至极': 832, '漂亮大方': 695, '反应超快': 643, '清晰度高': 517, '使用舒适': 348, '时尚美观': 346, '高端大气': 314, '画质感人': 295, '超大屏幕': 255, '电池耐用': 179, '方便好用': 164, '性能一流': 159}"
100000349372,"{'流畅至极': 127, '反应超快': 76, '时尚美观': 67, '方便好用': 48, '清晰度高': 44, '使用舒适': 39, '高端大气': 34, '超大屏幕': 30, '大小适宜': 25, '功能强大': 23, '手感一流': 19, '体验绝佳': 18}"
7081550,"{'流畅至极': 127, '反应超快': 106, '漂亮大方': 80, '方便好用': 62, '清晰度高': 61, '时尚美观': 53, '功能强大': 26, '性能一流': 18, '时尚简约': 14, '持久耐用': 14, '大方得体': 13, '观感舒适': 12}"
8895275,"{'流畅至极': 1795, '漂亮大方': 1688, '反应超快': 1550, '时尚美观': 1062, '清晰度高': 848, '大小适宜': 615, '颜色绚丽': 600, '使用舒适': 516, '充电快速': 510, '性能一流': 498, '解锁迅速': 322, '拍摄功能强': 285}"
